size,time_astar,acc_astar,time_genn_astar,acc_genn_astar
4,0.17114388896152377,1.0,1.343950199894607,1.0
5,0.08872244693338871,1.0,1.4787439666688442,1.0
6,0.030816951766610146,1.0,1.6746923639439046,1.0
7,0.05580450780689716,1.0,1.9776796898804605,1.0
8,0.13312141271308064,1.0,1.915072922129184,1.0
9,0.45757665066048503,1.0,1.7873038337565958,1.0
10,0.3871647189371288,1.0,1.9710155790671706,1.0
