size,time_sm,acc_sm,time_ipfp,acc_ipfp,time_rrwm,acc_rrwm,time_ngm,acc_ngm
10,0.043277955148369074,1.0,0.0011383160017430782,1.0,0.19784639403223991,1.0,1.8184486008249223,0.8
20,1.0400815587490797,0.9,0.01970714097842574,1.0,0.3942134869284928,1.0,2.454404339659959,1.0
30,0.9171512871980667,1.0,0.008059559389948845,1.0,0.16422237502411008,1.0,2.304943175986409,0.93333334
40,0.6701238569803536,1.0,0.07099054986611009,1.0,0.44532652106136084,1.0,2.400328109972179,0.9
50,0.6698842961341143,0.94,0.011632612906396389,1.0,0.4232285083271563,1.0,5.3290533209219575,1.0
60,1.0633611949160695,0.93333334,0.12897633388638496,1.0,0.5741952648386359,1.0,4.84388431487605,1.0
70,2.2254387931898236,1.0,0.23198625911027193,1.0,0.8428852180950344,1.0,6.4178851381875575,0.9714286
