size,time_sm,acc_sm,time_ipfp,acc_ipfp,time_rrwm,acc_rrwm,time_ngm,acc_ngm
10,0.01255087461322546,0.71428573,0.00017368514090776443,0.71428573,0.06490041874349117,0.85714287,2.0526574719697237,0.71428573
20,1.1901871478185058,0.64285713,0.0015111849643290043,0.71428573,0.3457907307893038,1.0,2.3271561306901276,0.78571427
30,0.4131724941544235,0.42857143,0.011217613704502583,1.0,0.36244175024330616,1.0,2.270133598241955,0.52380955
40,0.8268280629999936,0.39285713,0.002722238190472126,0.9285714,0.6181593770161271,1.0,2.5033758310601115,0.78571427
50,0.825840697158128,0.42857143,0.010606622789055109,1.0,0.33673847699537873,1.0,2.520665387623012,0.6
60,1.3374099219217896,0.21428572,0.056598222348839045,0.97619045,0.6123248049989343,1.0,4.350388227030635,0.5952381
70,1.3622378590516746,0.3469388,0.11287028575316072,1.0,0.3933458672836423,1.0,5.4445697059854865,0.71428573
