size,time_sm,acc_sm,time_ipfp,acc_ipfp,time_rrwm,acc_rrwm,time_ngm,acc_ngm
10,0.15645946096628904,0.5,0.00048078596591949463,1.0,0.1281677158549428,1.0,1.897991721983999,1.0
20,0.6490399930626154,1.0,0.030546427238732576,1.0,0.4857361139729619,1.0,2.429911917075515,0.8
30,1.1390582658350468,1.0,0.003106527030467987,1.0,0.22308512311428785,1.0,2.3679644847288728,1.0
40,0.11186527833342552,1.0,0.013831777032464743,1.0,0.5062930337153375,1.0,2.5968940360471606,1.0
50,1.1956459782086313,1.0,0.02557756705209613,1.0,0.44651974830776453,1.0,4.41844979301095,1.0
60,1.1902191741392016,1.0,0.05392316123470664,1.0,0.46550863003358245,1.0,4.528349506203085,1.0
70,2.4389142231084406,1.0,0.13260693801566958,1.0,1.023363240994513,1.0,6.948743009008467,1.0
